Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
Model,PolicyGradient,PolicyGradient,PPOClip,PolicyGradient,PolicyGradient,PolicyGradient,PPOClip,PPOClip,PPOClip,PPOClip,PolicyGradient,PolicyGradient,PPOClip,PolicyGradient,PolicyGradient,PPOClip,PPOClip,PolicyGradient,PPOClip,PolicyGradient,PolicyGradient,PPOClip,PolicyGradient,PPOClip,PolicyGradient,PPOClip,PPOClip,PPOClip,PPOClip,PolicyGradient,PolicyGradient,PPOClip,PPOClip,PolicyGradient,PPOClip,PolicyGradient,PPOClip,PPOClip,PolicyGradient,PPOClip,PPOClip,PolicyGradient,PPOClip,PolicyGradient,PPOClip,PolicyGradient,PolicyGradient,PolicyGradient,PolicyGradient,PPOClip
Alpha Settings,pi0.0001_v0.01,pi0.01_v0.001,pi0.01_v0.001,pi0.01_v0.01,pi0.0005_v0.01,pi0.0001_v0.005,pi0.001_v0.001,pi0.0005_v0.005,pi0.01_v0.0005,pi0.0005_v0.0005,pi0.001_v0.0001,pi0.0001_v0.0005,pi0.005_v0.0005,pi0.005_v0.001,pi0.01_v0.0001,pi0.0001_v0.001,pi0.005_v0.005,pi0.0005_v0.001,pi0.001_v0.0005,pi0.001_v0.005,pi0.0005_v0.0005,pi0.0001_v0.0005,pi0.005_v0.0001,pi0.0005_v0.01,pi0.01_v0.005,pi0.01_v0.005,pi0.01_v0.01,pi0.0001_v0.01,pi0.0005_v0.001,pi0.005_v0.01,pi0.0001_v0.001,pi0.001_v0.005,pi0.005_v0.0001,pi0.005_v0.005,pi0.005_v0.01,pi0.0001_v0.0001,pi0.0005_v0.0001,pi0.01_v0.0001,pi0.001_v0.0005,pi0.001_v0.01,pi0.005_v0.001,pi0.0005_v0.005,pi0.0001_v0.005,pi0.01_v0.0005,pi0.0001_v0.0001,pi0.005_v0.0005,pi0.0005_v0.0001,pi0.001_v0.001,pi0.001_v0.01,pi0.001_v0.0001
0,11.0,34.0,21.0,17.0,10.0,24.0,75.0,16.0,9.0,18.0,19.0,24.0,11.0,25.0,16.0,21.0,14.0,24.0,22.0,41.0,11.0,29.0,16.0,13.0,57.0,27.0,18.0,10.0,15.0,12.0,15.0,20.0,29.0,18.0,14.0,14.0,25.0,18.0,14.0,11.0,19.0,11.0,16.0,25.0,25.0,16.0,38.0,37.0,14.0,33.0
1,23.0,30.0,55.0,9.0,9.0,13.0,25.0,21.0,24.0,32.0,15.0,71.0,15.0,23.0,29.0,10.0,17.0,20.0,18.0,58.0,11.0,46.0,28.0,12.0,52.0,41.0,11.0,26.0,11.0,14.0,11.0,13.0,14.0,10.0,27.0,19.0,38.0,31.0,14.0,43.0,17.0,12.0,13.0,28.0,12.0,23.0,19.0,33.0,26.0,33.0
2,11.0,49.0,68.0,10.0,11.0,17.0,15.0,45.0,33.0,77.0,17.0,43.0,16.0,40.0,23.0,18.0,33.0,25.0,15.0,13.0,12.0,77.0,18.0,12.0,97.0,19.0,18.0,17.0,35.0,10.0,22.0,14.0,34.0,10.0,19.0,13.0,30.0,10.0,13.0,11.0,12.0,32.0,10.0,25.0,27.0,24.0,10.0,27.0,35.0,9.0
3,13.0,53.0,29.0,16.0,18.0,54.0,15.0,14.0,27.0,11.0,23.0,12.0,10.0,59.0,28.0,10.0,9.0,38.0,16.0,19.0,10.0,11.0,48.0,28.0,113.0,18.0,13.0,11.0,59.0,10.0,14.0,15.0,70.0,15.0,13.0,16.0,12.0,18.0,14.0,11.0,25.0,12.0,30.0,25.0,24.0,103.0,14.0,13.0,10.0,15.0
4,15.0,43.0,14.0,12.0,12.0,82.0,15.0,26.0,40.0,16.0,11.0,11.0,9.0,44.0,38.0,24.0,17.0,21.0,13.0,45.0,13.0,15.0,53.0,21.0,55.0,13.0,23.0,19.0,15.0,12.0,17.0,28.0,28.0,9.0,16.0,10.0,12.0,55.0,9.0,21.0,21.0,42.0,17.0,22.0,17.0,39.0,18.0,58.0,26.0,17.0
5,10.0,67.0,12.0,9.0,26.0,14.0,24.0,19.0,23.0,26.0,21.0,30.0,11.0,45.0,156.0,19.0,15.0,28.0,33.0,23.0,10.0,73.0,87.0,12.0,52.0,13.0,17.0,21.0,25.0,10.0,14.0,20.0,51.0,10.0,56.0,26.0,11.0,12.0,16.0,16.0,25.0,10.0,24.0,25.0,13.0,50.0,15.0,40.0,17.0,12.0
6,18.0,81.0,57.0,10.0,13.0,32.0,29.0,58.0,23.0,55.0,29.0,18.0,20.0,38.0,86.0,19.0,19.0,18.0,46.0,109.0,12.0,26.0,45.0,34.0,115.0,18.0,24.0,9.0,30.0,10.0,15.0,18.0,30.0,10.0,20.0,21.0,15.0,15.0,22.0,20.0,11.0,24.0,43.0,22.0,12.0,43.0,18.0,41.0,14.0,39.0
7,43.0,54.0,16.0,9.0,10.0,35.0,20.0,17.0,36.0,9.0,56.0,38.0,12.0,47.0,44.0,14.0,18.0,19.0,9.0,18.0,23.0,22.0,35.0,15.0,74.0,13.0,13.0,9.0,23.0,10.0,36.0,15.0,15.0,14.0,19.0,18.0,11.0,14.0,12.0,10.0,12.0,30.0,15.0,20.0,18.0,53.0,46.0,28.0,13.0,13.0
8,27.0,140.0,21.0,10.0,9.0,19.0,19.0,14.0,26.0,29.0,16.0,24.0,12.0,68.0,130.0,10.0,15.0,15.0,33.0,63.0,9.0,34.0,48.0,35.0,57.0,26.0,13.0,21.0,31.0,10.0,19.0,18.0,24.0,12.0,12.0,15.0,17.0,12.0,9.0,36.0,18.0,33.0,22.0,20.0,15.0,59.0,24.0,46.0,13.0,23.0
9,18.0,72.0,42.0,14.0,9.0,58.0,19.0,53.0,19.0,12.0,30.0,29.0,18.0,36.0,65.0,13.0,13.0,63.0,20.0,23.0,13.0,19.0,35.0,23.0,46.0,29.0,14.0,33.0,27.0,10.0,20.0,11.0,62.0,10.0,19.0,26.0,45.0,12.0,13.0,41.0,23.0,31.0,21.0,25.0,30.0,78.0,13.0,50.0,48.0,17.0
10,16.0,44.0,18.0,9.0,17.0,22.0,24.0,19.0,22.0,21.0,32.0,17.0,22.0,48.0,157.0,12.0,12.0,26.0,33.0,39.0,20.0,18.0,29.0,14.0,38.0,19.0,10.0,12.0,22.0,12.0,14.0,31.0,35.0,10.0,83.0,23.0,18.0,14.0,10.0,15.0,32.0,42.0,16.0,26.0,13.0,81.0,10.0,31.0,11.0,46.0
11,17.0,58.0,20.0,10.0,36.0,9.0,105.0,16.0,15.0,28.0,13.0,20.0,14.0,42.0,53.0,11.0,9.0,25.0,10.0,34.0,15.0,10.0,25.0,22.0,42.0,17.0,10.0,12.0,16.0,10.0,27.0,24.0,15.0,10.0,40.0,11.0,11.0,11.0,11.0,14.0,16.0,18.0,37.0,30.0,19.0,67.0,15.0,41.0,29.0,11.0
12,34.0,47.0,15.0,10.0,12.0,85.0,38.0,31.0,24.0,11.0,21.0,19.0,18.0,57.0,106.0,17.0,16.0,16.0,28.0,30.0,12.0,40.0,36.0,11.0,35.0,13.0,10.0,26.0,19.0,9.0,20.0,16.0,22.0,10.0,18.0,11.0,14.0,17.0,34.0,10.0,21.0,14.0,23.0,25.0,22.0,98.0,21.0,51.0,11.0,22.0
13,32.0,36.0,41.0,9.0,17.0,26.0,18.0,50.0,17.0,24.0,19.0,27.0,9.0,60.0,82.0,22.0,20.0,42.0,9.0,49.0,12.0,14.0,22.0,9.0,29.0,11.0,13.0,9.0,22.0,9.0,10.0,13.0,30.0,12.0,34.0,12.0,17.0,14.0,14.0,14.0,11.0,21.0,18.0,33.0,30.0,145.0,31.0,60.0,20.0,12.0
14,21.0,46.0,11.0,10.0,26.0,37.0,43.0,26.0,16.0,11.0,17.0,36.0,13.0,51.0,52.0,16.0,22.0,25.0,19.0,10.0,12.0,14.0,96.0,15.0,21.0,13.0,15.0,21.0,40.0,10.0,17.0,36.0,48.0,9.0,48.0,22.0,16.0,33.0,12.0,29.0,10.0,15.0,46.0,21.0,24.0,115.0,33.0,51.0,62.0,12.0
15,23.0,36.0,38.0,10.0,12.0,16.0,24.0,11.0,16.0,19.0,82.0,22.0,13.0,48.0,110.0,33.0,13.0,41.0,26.0,37.0,21.0,15.0,48.0,32.0,24.0,20.0,19.0,17.0,26.0,10.0,11.0,15.0,27.0,10.0,28.0,12.0,20.0,36.0,12.0,11.0,11.0,16.0,44.0,27.0,12.0,87.0,31.0,65.0,20.0,17.0
16,9.0,33.0,36.0,10.0,14.0,20.0,34.0,12.0,29.0,13.0,23.0,29.0,9.0,54.0,53.0,23.0,20.0,47.0,35.0,64.0,9.0,14.0,19.0,14.0,25.0,46.0,24.0,16.0,15.0,10.0,18.0,23.0,12.0,10.0,73.0,14.0,26.0,12.0,12.0,24.0,10.0,20.0,24.0,25.0,13.0,77.0,13.0,39.0,19.0,28.0
17,18.0,30.0,58.0,9.0,11.0,32.0,32.0,11.0,36.0,61.0,24.0,35.0,11.0,47.0,73.0,23.0,14.0,31.0,23.0,51.0,13.0,15.0,32.0,19.0,12.0,30.0,27.0,21.0,32.0,10.0,14.0,22.0,12.0,10.0,22.0,12.0,13.0,10.0,18.0,20.0,10.0,15.0,11.0,31.0,16.0,127.0,24.0,33.0,37.0,21.0
18,16.0,27.0,33.0,9.0,10.0,36.0,54.0,26.0,43.0,23.0,17.0,15.0,10.0,69.0,73.0,14.0,45.0,11.0,17.0,65.0,13.0,39.0,31.0,16.0,29.0,16.0,55.0,29.0,13.0,12.0,39.0,42.0,13.0,10.0,29.0,29.0,24.0,10.0,9.0,31.0,11.0,19.0,20.0,27.0,25.0,48.0,25.0,55.0,32.0,21.0
19,34.0,23.0,45.0,12.0,11.0,17.0,67.0,38.0,63.0,31.0,13.0,27.0,11.0,55.0,63.0,14.0,34.0,82.0,25.0,12.0,12.0,18.0,63.0,20.0,22.0,16.0,36.0,12.0,18.0,10.0,12.0,17.0,10.0,10.0,18.0,16.0,18.0,10.0,25.0,32.0,21.0,33.0,21.0,35.0,27.0,167.0,18.0,23.0,16.0,12.0
20,27.0,29.0,46.0,10.0,14.0,18.0,14.0,17.0,93.0,29.0,78.0,48.0,9.0,56.0,48.0,14.0,43.0,23.0,14.0,26.0,19.0,45.0,19.0,24.0,22.0,29.0,14.0,69.0,34.0,10.0,26.0,67.0,11.0,10.0,40.0,30.0,11.0,12.0,14.0,41.0,11.0,35.0,11.0,36.0,11.0,58.0,12.0,41.0,24.0,27.0
21,14.0,26.0,38.0,9.0,10.0,14.0,71.0,24.0,75.0,32.0,16.0,30.0,9.0,87.0,55.0,10.0,59.0,33.0,17.0,16.0,11.0,33.0,71.0,12.0,110.0,20.0,46.0,18.0,39.0,9.0,26.0,17.0,15.0,10.0,71.0,17.0,12.0,10.0,22.0,20.0,10.0,39.0,37.0,29.0,12.0,124.0,64.0,33.0,12.0,22.0
22,17.0,28.0,38.0,12.0,14.0,35.0,36.0,16.0,69.0,34.0,31.0,44.0,9.0,67.0,53.0,44.0,70.0,14.0,17.0,26.0,14.0,20.0,27.0,25.0,39.0,30.0,34.0,34.0,23.0,10.0,23.0,15.0,9.0,10.0,15.0,12.0,18.0,10.0,11.0,27.0,12.0,26.0,11.0,31.0,25.0,63.0,36.0,58.0,89.0,41.0
23,15.0,24.0,34.0,10.0,11.0,25.0,36.0,28.0,66.0,33.0,22.0,34.0,10.0,57.0,98.0,23.0,48.0,33.0,22.0,24.0,21.0,19.0,45.0,11.0,30.0,22.0,53.0,39.0,42.0,10.0,13.0,16.0,9.0,10.0,34.0,14.0,25.0,10.0,14.0,30.0,10.0,106.0,18.0,22.0,10.0,56.0,27.0,40.0,22.0,18.0
24,18.0,24.0,36.0,9.0,19.0,29.0,52.0,14.0,58.0,63.0,14.0,17.0,12.0,65.0,31.0,9.0,105.0,13.0,12.0,17.0,9.0,15.0,11.0,9.0,266.0,22.0,43.0,15.0,18.0,10.0,16.0,19.0,10.0,10.0,10.0,17.0,18.0,10.0,11.0,28.0,9.0,46.0,16.0,35.0,13.0,60.0,29.0,30.0,20.0,25.0
25,14.0,23.0,31.0,11.0,21.0,15.0,45.0,12.0,48.0,15.0,121.0,29.0,9.0,81.0,58.0,43.0,74.0,32.0,42.0,56.0,12.0,25.0,21.0,33.0,262.0,26.0,35.0,12.0,16.0,10.0,29.0,59.0,11.0,10.0,23.0,13.0,14.0,10.0,10.0,21.0,10.0,14.0,16.0,31.0,12.0,58.0,77.0,24.0,15.0,14.0
26,15.0,23.0,29.0,9.0,17.0,42.0,48.0,25.0,51.0,23.0,16.0,28.0,10.0,78.0,48.0,16.0,160.0,31.0,20.0,38.0,13.0,29.0,71.0,28.0,352.0,27.0,49.0,16.0,32.0,10.0,15.0,33.0,10.0,10.0,34.0,13.0,19.0,10.0,12.0,17.0,10.0,10.0,9.0,28.0,40.0,37.0,17.0,49.0,102.0,18.0
27,18.0,22.0,29.0,9.0,16.0,44.0,57.0,30.0,58.0,20.0,30.0,29.0,9.0,121.0,56.0,24.0,70.0,32.0,41.0,36.0,17.0,17.0,18.0,18.0,369.0,29.0,48.0,20.0,39.0,12.0,13.0,16.0,9.0,10.0,122.0,11.0,20.0,10.0,9.0,40.0,11.0,16.0,24.0,24.0,15.0,26.0,34.0,65.0,23.0,37.0
28,17.0,21.0,27.0,9.0,9.0,16.0,77.0,14.0,68.0,26.0,22.0,29.0,10.0,117.0,50.0,11.0,65.0,30.0,26.0,36.0,11.0,11.0,19.0,18.0,294.0,24.0,24.0,24.0,14.0,10.0,25.0,57.0,9.0,10.0,33.0,15.0,11.0,10.0,9.0,65.0,17.0,31.0,25.0,22.0,12.0,37.0,12.0,54.0,117.0,40.0
29,9.0,21.0,26.0,10.0,11.0,17.0,86.0,12.0,58.0,17.0,15.0,65.0,9.0,103.0,42.0,11.0,186.0,20.0,18.0,37.0,10.0,20.0,38.0,13.0,240.0,28.0,32.0,10.0,23.0,10.0,24.0,33.0,9.0,10.0,25.0,13.0,21.0,10.0,16.0,35.0,10.0,25.0,12.0,26.0,10.0,40.0,37.0,102.0,28.0,44.0
30,22.0,19.0,26.0,13.0,10.0,38.0,35.0,19.0,96.0,52.0,11.0,15.0,9.0,141.0,58.0,9.0,106.0,25.0,15.0,21.0,10.0,15.0,18.0,34.0,227.0,25.0,76.0,15.0,21.0,12.0,14.0,80.0,9.0,10.0,106.0,10.0,13.0,10.0,11.0,25.0,21.0,41.0,12.0,22.0,27.0,27.0,39.0,31.0,18.0,26.0
