Query,Category,Top-1 Score,Avg Score,Top-5 Avg,Relevant
deep learning neural networks,Deep Learning,0.4453,0.4370,0.4404,Yes
graph neural networks for molecular property predi,GNN Applications,0.6397,0.5807,0.6056,Yes
natural language processing transformers,NLP,0.5805,0.5277,0.5466,Yes
RL for robotics,Robotics & RL,0.4936,0.3946,0.4162,Yes
computer vision object detection,Computer Vision,0.5510,0.5013,0.5171,Yes
IoT security cryptography,Security,0.5002,0.4858,0.4949,Yes
machine learning optimization algorithms,ML Theory,0.4703,0.4323,0.4459,Yes
recommender systems collaborative filtering,Recommender Systems,0.5632,0.5147,0.5375,Yes
graph convolutional networks,Graph Learning,0.5449,0.5114,0.5223,Yes
attention mechanisms neural networks,Attention,0.4731,0.4351,0.4488,Yes
