Query,Category,Top-1 Score,Avg Score,Top-5 Avg,Relevant
deep learning neural networks,Deep Learning,0.3289,0.2956,0.3046,Yes
graph neural networks for molecular property predi,GNN Applications,0.4399,0.3096,0.3430,Yes
natural language processing transformers,NLP,0.4124,0.3081,0.3423,Yes
RL for robotics,Robotics & RL,0.2991,0.2440,0.2701,No
computer vision object detection,Computer Vision,0.2628,0.2162,0.2289,No
IoT security cryptography,Security,0.4598,0.2115,0.3099,Yes
machine learning optimization algorithms,ML Theory,0.2783,0.2363,0.2556,No
recommender systems collaborative filtering,Recommender Systems,0.3820,0.3132,0.3349,Yes
graph convolutional networks,Graph Learning,0.3693,0.3231,0.3515,Yes
attention mechanisms neural networks,Attention,0.3514,0.2494,0.2734,Yes
